id,category,oeis_xref,A,total_n,train_n,k,sc,pred_sc,solomonoff_class,mdl,raw_bits,ratio,time_s,solver_desc
A246655_a3_shuf,self,,3,61,41,20,12,0,neither,57.41,96.68,0.5938,591.136,P2H_ITER d=5 r0=2
A276086_a2_shuf,self,,2,74,54,20,16,0,neither,42.87,74.00,0.5793,592.327,P2H_FUNC d=4 R0
A385776_a2_shuf,self,,2,41,21,20,21,19,compressed_only,13.53,41.00,0.3301,11.152,"DARY d=2 LOAD(R0,1) init=0"
tot3_0001_shuf,self,,3,500,375,125,17,0,neither,69.40,792.48,0.0876,592.354,P2H_ITER d=7 r0=0
tot3_0006_shuf,self,,3,500,375,125,205,0,neither,61.61,792.48,0.0777,594.452,STEP off=128 halt=6
tot3_0014_shuf,self,,3,500,375,125,12,0,neither,67.57,792.48,0.0853,592.396,STEP off=278 halt=60
tot3_0023_shuf,self,,3,500,375,125,17,0,neither,62.57,792.48,0.0790,592.287,P2H_ITER d=6 r0=2
tot3_0045_shuf,self,,3,500,375,125,359,0,neither,64.88,792.48,0.0819,594.550,STEP off=268 halt=13
tot3_0051_shuf,self,,3,500,375,125,148,0,neither,82.75,792.48,0.1044,592.721,NESTED_LOOP L=4
tot3_0072_shuf,self,,3,500,375,125,375,124,compressed_only,13.53,792.48,0.0171,14.611,DARY d=2 INC(R1) init=0
tot3_0104_shuf,self,,3,500,375,125,16,0,neither,59.47,792.48,0.0750,592.382,STEP off=271 halt=2
tot3_0133_shuf,self,,3,500,375,125,140,0,neither,50.89,792.48,0.0642,594.622,STEP off=1 halt=138
tot3_0135_shuf,self,,3,500,375,125,375,124,compressed_only,13.53,792.48,0.0171,14.912,DARY d=2 INC(R1) init=0
tot3_0145_shuf,self,,3,500,375,125,14,0,neither,51.43,792.48,0.0649,592.361,STEP off=28 halt=0
tot3_0146_shuf,self,,3,500,375,125,11,0,neither,38.60,792.48,0.0487,592.283,ITER d=3
tot3_0153_shuf,self,,3,500,375,125,375,124,compressed_only,13.53,792.48,0.0171,14.270,DARY d=2 INC(R1) init=0
tot3_0156_shuf,self,,3,500,375,125,28,0,neither,64.32,792.48,0.0812,592.516,NESTED_LOOP L=3
tot3_0160_shuf,self,,3,500,375,125,11,0,neither,56.51,792.48,0.0713,592.534,STEP off=63 halt=2
tot3_0176_shuf,self,,3,500,375,125,11,0,neither,58.10,792.48,0.0733,592.328,STEP off=255 halt=0
tot3_0190_shuf,self,,3,500,375,125,69,0,neither,55.63,792.48,0.0702,594.559,STEP off=336 halt=0
tot3_0205_shuf,self,,3,500,375,125,73,0,neither,63.45,792.48,0.0801,592.539,STEP off=103 halt=56
tot3_0237_shuf,self,,3,500,375,125,58,0,neither,54.64,792.48,0.0689,592.723,STEP off=122 halt=0
tot3_0244_shuf,self,,3,500,375,125,23,0,neither,77.99,792.48,0.0984,592.722,NESTED_LOOP L=4
tot3_0248_shuf,self,,3,500,375,125,12,0,neither,54.59,792.48,0.0689,593.261,STEP off=196 halt=0
tot3_0249_shuf,self,,3,500,375,125,280,0,neither,58.06,792.48,0.0733,594.468,STEP off=220 halt=2
tot3_0254_shuf,self,,3,500,375,125,16,0,neither,56.33,792.48,0.0711,592.775,STEP off=172 halt=1
tot3_0267_shuf,self,,3,500,375,125,225,0,neither,58.49,792.48,0.0738,594.480,STEP off=275 halt=2
tot3_0280_shuf,self,,3,500,375,125,247,0,neither,53.66,792.48,0.0677,595.197,STEP off=1 halt=48
tot3_0288_shuf,self,,3,500,375,125,158,0,neither,62.23,792.48,0.0785,594.573,STEP off=175 halt=6
tot3_0312_shuf,self,,3,500,375,125,277,0,neither,90.38,792.48,0.1140,593.009,NESTED_LOOP L=5
tot3_0314_shuf,self,,3,500,375,125,13,0,neither,58.35,792.48,0.0736,592.507,STEP off=131 halt=8
tot3_0321_shuf,self,,3,500,375,125,214,0,neither,61.46,792.48,0.0776,594.674,STEP off=119 halt=6
tot3_0342_shuf,self,,3,500,375,125,321,0,neither,65.13,792.48,0.0822,594.638,STEP off=306 halt=13
tot3_0352_shuf,self,,3,500,375,125,85,0,neither,63.07,792.48,0.0796,594.557,STEP off=86 halt=56
tot3_0359_shuf,self,,3,500,375,125,14,0,neither,57.97,792.48,0.0731,592.301,STEP off=238 halt=1
tot3_0362_shuf,self,,3,500,375,125,197,0,neither,51.66,792.48,0.0652,594.762,STEP off=1 halt=48
tot3_0376_shuf,self,,3,500,375,125,13,0,neither,56.83,792.48,0.0717,592.367,STEP off=134 halt=1
