time_s,program_bits,population,alphabet_size,holdout_len,nesting_depth
10.213,13.45,S3,2,25,
10.257,13.45,S3,3,25,
10.182,13.45,S3,4,25,
10.176,13.45,S3,5,25,
10.174,13.45,S3,7,25,
184.888,97.72,S3,3,26,5
179.643,97.72,S3,4,26,5
184.654,97.72,S3,5,26,5
187.406,97.72,S3,7,26,5
10.010,15.03,S3,2,26,
10.079,15.03,S3,3,26,
10.147,15.03,S3,4,26,
10.079,15.03,S3,5,26,
10.081,15.03,S3,7,26,
27.319,15.70,S3,2,20,
10.099,13.45,S3,2,22,
10.108,13.45,S3,3,22,
10.115,13.45,S3,4,22,
10.110,13.45,S3,5,22,
10.111,13.45,S3,7,22,
10.009,15.61,S3,2,20,
10.188,15.61,S3,3,20,
10.086,15.61,S3,4,20,
10.104,15.61,S3,5,20,
10.088,15.61,S3,7,20,
10.009,15.61,S3,2,26,
19.325,15.61,S3,3,26,
23.516,15.61,S3,4,26,
18.866,15.61,S3,5,26,
18.660,15.61,S3,7,26,
10.014,15.03,S3,2,20,
10.016,15.03,S3,2,20,
27.691,24.11,S3,3,20,
15.588,24.11,S3,4,20,
16.917,24.11,S3,5,20,
15.387,24.11,S3,7,20,
13.915,17.62,S3,2,20,
13.489,16.62,S3,2,26,
21.110,16.62,S3,3,26,
24.670,16.62,S3,4,26,
21.393,16.62,S3,5,26,
21.164,16.62,S3,7,26,
10.015,15.03,S3,2,20,
15.928,17.86,S3,2,20,
15.785,31.98,S3,3,20,
18.123,36.09,S3,4,20,
22.477,40.34,S3,5,20,
16.827,36.09,S3,7,20,
313.298,116.78,S3,7,20,6
15.085,17.86,S3,2,20,
14.686,26.73,S3,3,20,
14.998,37.09,S3,4,20,
15.316,35.09,S3,5,20,
14.836,35.09,S3,7,20,
10.015,15.61,S3,2,20,
14.997,24.11,S3,3,20,
10.085,15.61,S3,4,20,
14.788,26.73,S3,5,20,
14.985,26.73,S3,7,20,
40.981,19.20,S3,3,20,
61.221,36.09,S3,4,20,
46.049,43.26,S3,5,20,
14.739,17.86,S3,2,20,
10.082,15.61,S3,3,20,
15.022,28.73,S3,4,20,
15.484,36.09,S3,5,20,
22.524,37.09,S3,7,20,
14.937,17.86,S3,2,20,
41.607,26.06,S3,3,20,
15.168,17.86,S3,4,20,
21.010,41.34,S3,5,20,
75.306,53.54,S3,7,20,
