id,category,oeis_xref,A,total_n,train_n,k,sc,pred_sc,solomonoff_class,mdl,raw_bits,ratio,time_s,solver_desc
tot3_0694,totalistic_3state,,3,500,375,125,13,0,neither,59.52,792.48,0.0751,600.046,STEP off=319 halt=2
tot3_0695,totalistic_3state,,3,500,375,125,375,125,discovered,22.48,792.48,0.0284,11.781,CTX_X nr=1 d=1 perm=(0) out=R0 L=2
tot3_0696,totalistic_3state,,3,500,375,125,17,0,neither,63.20,792.48,0.0798,600.054,STEP off=237 halt=12
tot3_0697,totalistic_3state,,3,500,375,125,375,125,discovered,13.45,792.48,0.0170,10.213,"DARY d=2 LOAD(R0,1) init=0"
tot3_0698,totalistic_3state,,3,500,375,125,375,125,discovered,32.43,792.48,0.0409,41.516,CTX_X nr=1 d=3 perm=(2) out=R0 L=3
tot3_0699,totalistic_3state,,3,500,375,125,375,125,discovered,83.73,792.48,0.1057,213.760,NESTED_LOOP L=4
tot3_0700,totalistic_3state,,3,500,375,125,375,125,discovered,99.72,792.48,0.1258,291.580,NESTED_LOOP L=5
tot3_0701,totalistic_3state,,3,500,375,125,375,125,discovered,28.84,792.48,0.0364,11.367,CTX_X nr=1 d=1 perm=(0) out=R0 L=3
tot3_0702,totalistic_3state,,3,500,375,125,375,125,discovered,15.03,792.48,0.0190,10.090,"DARY d=2 ISZERO(R1,R0) init=0"
tot3_0703,totalistic_3state,,3,500,375,125,375,125,discovered,20.43,792.48,0.0258,42.707,CTX_X nr=1 d=4 perm=(3) out=R0 L=1
tot3_0704,totalistic_3state,,3,500,375,125,375,125,discovered,22.48,792.48,0.0284,11.650,CTX_X nr=1 d=1 perm=(0) out=R0 L=2
tot3_0705,totalistic_3state,,3,500,375,125,375,125,discovered,33.90,792.48,0.0428,42.481,"CTX_X nr=2 d=3 perm=(0,1) out=R0 L=2"
tot3_0706,totalistic_3state,,3,500,375,125,375,125,discovered,17.86,792.48,0.0225,16.788,CTX_X nr=1 d=2 perm=(1) out=R0 L=1
tot3_0707,totalistic_3state,,3,500,375,125,375,125,discovered,31.09,792.48,0.0392,16.230,CTX_X nr=1 d=2 perm=(1) out=R0 L=3
tot3_0708,totalistic_3state,,3,500,375,125,375,125,discovered,26.03,792.48,0.0329,43.450,"CTX_X nr=2 d=3 perm=(0,1) out=R0 L=1"
tot3_0709,totalistic_3state,,3,500,375,125,17,0,neither,72.09,792.48,0.0910,600.062,ITER_L d=5
tot3_0710,totalistic_3state,,3,500,375,125,375,125,discovered,28.84,792.48,0.0364,12.111,CTX_X nr=1 d=1 perm=(0) out=R0 L=3
tot3_0711,totalistic_3state,,3,500,375,125,375,125,discovered,15.03,792.48,0.0190,10.087,"DARY d=2 ISZERO(R1,R0) init=0"
tot3_0712,totalistic_3state,,3,500,375,125,19,0,neither,58.55,792.48,0.0739,600.054,STEP off=323 halt=2
tot3_0713,totalistic_3state,,3,500,375,125,16,0,neither,59.93,792.48,0.0756,600.097,STEP off=363 halt=5
