"id","population","solver_family","program_bits","time_s","log2t"
"tot3_1102","S4","DARY",13.45,10.203,3.35092150676691
"tot3_1103","S4","DARY",13.45,10.211,3.35205225634249
"tot3_1104","S4","CTX_X",17.86,17.157,4.10072540626236
"tot3_1105","S4","CTX_X",17.86,17.122,4.0977793259229
"tot3_1106","S4","CTX_X",17.86,17.102,4.09609314639378
"tot3_1107","S4","DARY",15.03,10.088,3.33456827566613
"tot3_1109","S4","CTX_X",42.91,42.893,5.42267031861935
"tot3_1110","S4","CTX_X",36.55,42.168,5.39807669206744
"tot3_1111","S4","CTX_X",17.86,16.824,4.07244885006969
"tot3_1112","S4","CTX_X",17.86,17.041,4.09093809316883
"tot3_1113","S4","CTX_X",45.15,43.17,5.43195718768673
"tot3_1114","S4","CTX_X",15.61,11.997,3.5846017818692
"tot3_1115","S4","CTX_X",15.61,12.098,3.59669666068723
"tot3_1116","S4","DARY",15.03,10.09,3.33485426933163
"tot3_1117","S4","CTX_X",42.91,42.452,5.40776061856232
"tot3_1118","S4","CTX_X",31.09,16.554,4.04910795741234
"tot3_1119","S4","CTX_X",17.86,16.751,4.06617531893402
"tot3_1120","S4","CTX_X",17.86,16.881,4.07732846411663
"tot3_1121","S4","CTX_X",17.86,16.682,4.06022035831686
"tot3_1122","S4","CTX_X",15.61,11.732,3.55237707109487
"tot3_1123","S4","CTX_X",15.61,11.681,3.54609188222903
"tot3_1124","S4","CTX_X",15.61,11.969,3.5812307162325
"tot3_1125","S4","DARY",15.03,10.085,3.33413917883824
"tot3_1126","S4","CTX_X",42.91,42.231,5.40023050442203
"tot3_1127","S4","CTX_X",31.09,16.104,4.00934717225925
"tot3_1128","S4","CTX_X",17.86,16.944,4.08270258933025
"tot3_1129","S4","CTX_X",17.86,16.552,4.04893364519792
"tot3_1130","S4","CTX_X",17.86,17.037,4.09059941248393
"tot3_1131","S4","CTX_X",15.61,12.171,3.60537580326534
"tot3_1132","S4","CTX_X",15.61,11.907,3.5737380630589
"tot3_1133","S4","CTX_X",15.61,11.952,3.57918014812715
"tot3_1134","S4","DARY",15.03,10.092,3.33514020631421
"tot3_1135","S4","CTX_X",15.61,11.73,3.55213110825378
"tot3_1137","S4","DARY",15.7,22.221,4.47385183792301
"tot3_1138","S4","CTX_X",17.86,16.727,4.0641068150262
"tot3_1140","S4","CTX_X",31.98,16.803,4.07064692900643
"tot3_1142","S4","CTX_X",24.73,16.932,4.08168048865633
"tot3_1143","S4","DARY",15.03,10.086,3.33428222529524
"tot3_1144","S4","CTX_X",15.61,11.964,3.58062791045726
"tot3_1146","S4","FUNC_L",46.78,12.865,3.68537955195908
"tot3_1147","S4","CTX_X",17.86,16.875,4.07681559705083
"tot3_1151","S4","CTX_X",24.73,16.535,4.04745114041639
"tot3_1152","S4","DARY",15.03,10.086,3.33428222529524
"tot3_1154","S4","DARY",19.19,11.755,3.5552026338783
"tot3_1156","S4","CTX_X",17.86,16.991,4.08669885927444
"tot3_1157","S4","NESTED_LOOP",83.73,440.937,8.78442873154319
"tot3_1160","S4","CTX_X",24.73,16.091,4.00818208224212
"tot3_1161","S4","DARY",15.03,10.087,3.33442525757026
"tot3_1162","S4","NESTED_LOOP",64.81,207.04,7.69376571221778
"tot3_1163","S4","CTX_X",41.26,41.779,5.38470605612181
"tot3_1164","S4","DARY",13.45,10.2,3.35049724708413
"tot3_1165","S4","DARY",13.45,10.196,3.34993137336011
"tot3_1166","S4","DARY",13.45,10.2,3.35049724708413
"tot3_1168","S4","CTX_X",17.86,17.151,4.10022079099282
"tot3_1169","S4","CTX_X",17.86,17.962,4.1668760924852
"tot3_1170","S4","DARY",15.03,10.086,3.33428222529524
