"id","stage","class","class_simple","time_s"
"A000793_a4","S3","neither","other",600.057
"A000793_a5","S3","neither","other",600.058
"A000793_a7","S3","neither","other",600.037
"A000796_a2","S3","neither","other",600.062
"A000796_a3","S3","neither","other",600.042
"A000796_a4","S3","neither","other",600.038
"A000796_a5","S3","neither","other",600.061
"A000796_a7","S3","neither","other",600.059
"A000959_a2","S3","discovered","discovered",10.088
"A000959_a3","S3","neither","other",600.035
"A000959_a4","S3","neither","other",600.038
"A000959_a5","S3","neither","other",600.046
"A000959_a7","S3","neither","other",600.034
"A000961_a2","S3","neither","other",600.043
"A000961_a3","S3","neither","other",600.039
"A000961_a4","S3","neither","other",600.035
"A000961_a5","S3","neither","other",600.037
"A000961_a7","S3","neither","other",600.045
"A001037_a2","S3","neither","other",30.335
"A001037_a3","S3","neither","other",602.926
"A001037_a4","S3","neither","other",600.033
"A001037_a5","S3","neither","other",605
"A001037_a7","S3","neither","other",605
"A001055_a2","S3","neither","other",600.074
"A001055_a3","S3","neither","other",600.04
"A001055_a4","S3","neither","other",600.051
"A001055_a5","S3","neither","other",600.042
"A001055_a7","S3","neither","other",600.055
"A001065_a2","S3","neither","other",345.341
"A001065_a3","S3","neither","other",600.033
"A001065_a4","S3","neither","other",600.047
"A001065_a5","S3","discovered","discovered",313.722
"A001065_a7","S3","neither","other",600.046
"A001097_a2","S3","discovered","discovered",10.122
"A001097_a3","S3","discovered","discovered",10.147
"A001097_a4","S3","neither","other",600.038
"A001097_a5","S3","neither","other",600.063
"A001097_a7","S3","neither","other",600.034
"A001113_a2","S3","neither","other",600.031
"A001113_a3","S3","neither","other",600.048
"A001113_a4","S3","neither","other",600.05
"A001113_a5","S3","neither","other",600.072
"A001113_a7","S3","neither","other",600.049
"A001157_a2","S3","neither","other",600.062
"A001157_a3","S3","neither","other",600.031
"A001157_a4","S3","not_compressed_predicted","other",354.199
"A001157_a5","S3","neither","other",600.389
"A001157_a7","S3","neither","other",600.044
"A001221_a2","S3","neither","other",600.036
"A001221_a3","S3","neither","other",600.041
"A001221_a4","S3","neither","other",600.042
"A001221_a5","S3","neither","other",600.04
"A001221_a7","S3","neither","other",600.041
"A001222_a2","S3","neither","other",600.043
"A001222_a3","S3","neither","other",600.036
"A001222_a4","S3","neither","other",600.045
"A001222_a5","S3","neither","other",600.046
"A001222_a7","S3","neither","other",600.05
"A001227_a2","S3","neither","other",600.065
"A001227_a3","S3","discovered","discovered",273.677
"A001227_a4","S3","discovered","discovered",270.521
"A001227_a5","S3","discovered","discovered",228.687
"A001227_a7","S3","discovered","discovered",262.703
"A001285_a2","S3","discovered","discovered",15.085
"A001285_a3","S3","discovered","discovered",185.714
"A001285_a4","S3","discovered","discovered",226.211
"A001285_a5","S3","neither","other",600.059
"A001285_a7","S3","neither","other",600.036
"A001358_a2","S3","neither","other",600.059
"A001358_a3","S3","neither","other",600.087
"A001358_a4","S3","neither","other",600.063
